id,莆仙话,拼音,国际音标,释义,例句_莆仙话,例句_普通话,文化注释,来源
237,白涂,ba2tou2,pa21lɔu13,白土，火山灰的变质岩。,,,,hinghwa-RAG词典
238,白馃,ba2guai3,pa21uai453,莆仙特色食品。优质冬米蒸熟后，用石臼捣，压成块，或用印模印成饼状。由于常用作礼品，上面沾上食用红。,,,,hinghwa-RAG词典
239,白䖳,ba2tä4,pa55thɒ42,表皮白色的海蜇皮。,,,,hinghwa-RAG词典
240,白膏,ba2go1,pa21ko533,蛋白。,,,,hinghwa-RAG词典
241,白鲞,ba2siao3,pa21ɬiau453,将捕捞到的海产品直接晒干的淡干品。,,,,hinghwa-RAG词典
242,麦草扇,ba2cao3sing4,pa21lau13liŋ42,麦杆编成带子，用这种带子盘绕而成的扇子。,,,,hinghwa-RAG词典
243,麦须,ba2ciu1,pa21tshiu533,麦芒。△～共日头对硬（大麦灌浆期需要晴朗天气）。,,,,hinghwa-RAG词典
244,麦粗,ba2cou1,pa21tshɔu533,大麦片。,,,,hinghwa-RAG词典
245,麦粗糜,ba2cou1ma2,pat1tshɔu21ma13,大米加入麦片煮的稀饭。,,,,hinghwa-RAG词典
246,麦锋,ba2häng1,pa21hɒ533,包着麦粒的白色皮屑。,,,,hinghwa-RAG词典
247,麦煎,ba2zeng1,pa21tsɛŋ533,大麦磨成粉，加糖水泡匀后煎成的块状食品。,,,,hinghwa-RAG词典
248,麦稿,ba2go3,pak4ko453,麦秸。,,,,hinghwa-RAG词典
249,麦螺,ba2lë2,pa21lø13,织纹螺。,,,,hinghwa-RAG词典
250,爬龙船,ba2lë2,ba2lëng2sëng2pɒ21lœn21nœŋ1,3赛龙舟。,,,,hinghwa-RAG词典
251,爬起,ba2ki3,pa21i453,起床；起来：抱～,,,,hinghwa-RAG词典
252,爬悬索下,ba2ge2so5kia5,pɒk1ke13ɬo42kia21,到处乱闯。,,,,hinghwa-RAG词典
253,麻,ba2,pa13,一种使舌头感到不滑润不好受的滋味：者个红柿未曾熟，食了嘴乞～都无法度。,,,,hinghwa-RAG词典
254,棚,ba2,pa13,用竹木绳子编成的简单支架，供某些瓜豆类攀藤生长：菜瓜～。②戏台：戏～。③量词，用于戏，相当于普通话“场”。,,,,hinghwa-RAG词典
255,棚下,ba2ä5,pa42ɒ21,台下。△大～讨无姆（旧时莆仙风俗，家中一般不许年轻闺女到戏台下看戏。要想在看戏的人群中找老婆，根本是找不到的。喻找错地方）。,,,,hinghwa-RAG词典
256,棚后,ba2ao5,pa42au21,台后。,,,,hinghwa-RAG词典
257,棚顶,ba2deng3,pa21lɛŋ453,舞台上。,,,,hinghwa-RAG词典
258,棚前,ba2se2,pa21le13,台前。,,,,hinghwa-RAG词典
259,棚兜,ba2dao1,pa21lau533,戏台附近。,,,,hinghwa-RAG词典
260,百二间大厝,ba5di5ge1dua5cou4,pa42li13ke55tua55lɔu42,莆仙古代高官、富豪的大宅院，最初建成时有120间。一般为纵向三座七间厢主房，加上两边护厝及下座照、后供堂等形成的封闭式大宅院，再加上楼、馆、亭、园等附属建筑，形成主轴线为五进以上的超大型士大夫宅第。如涵江区江口镇林氏百二间大厝、萩芦镇梅洋村江春霖故居、梧塘镇西庄村卢氏百二间大厝。,,,参看【护厝】在第95页，【下座照】在第6页。,hinghwa-RAG词典
261,百七五,ba5cik6ngou5,pa21tshik4ŋɔu21,一百七十五。类似的可以说“百三八”、“百四七”、“百六九”等。,,,,hinghwa-RAG词典
262,百几,ba5gui3,pa55kui453,一百多。类似的有千几，万几等。,,,,hinghwa-RAG词典
263,百日,ba5dik7,pa55liʔ4,满孝。,,,,hinghwa-RAG词典
264,百六,ba5lak7,pa55laʔ4,一百六十。类似的有百三，百五，百九、千七、万九等。,,,,hinghwa-RAG词典
265,百岁,ba5huai4,pa55uai42,指老人去世。,,,,hinghwa-RAG词典
266,伯公,ba5gäng1,pa55ɒŋ533,祖父的哥哥。,,,,hinghwa-RAG词典
267,伯叔婶,ba5zëk6sing3,pa1le55liŋ453,妯娌。△～有蜀世无两世（难得妯娌相处，劝人和睦共处）。,,,,hinghwa-RAG词典
268,病囝,ba5güä3,pa21yɒ453,女子怀孕。,,,,hinghwa-RAG词典
269,擘,ba5,pa21,剥；掰；撕裂：～地生（剥花生）,,,,hinghwa-RAG词典
270,排骨,bai2gok6,pai42kɔʔ1,猪的肋骨。,,,,hinghwa-RAG词典
271,摆,bai3,pai453,（走路）摇摇摆摆：行路～阿～。,,,,hinghwa-RAG词典
272,摆,bai3,pai453,量词。相当于“次”。,,,,hinghwa-RAG词典
273,摆古今,bai3gou3ging1,pai21kɔu21kiŋ533,粗言野语。,,,,hinghwa-RAG词典
274,摆棕轿,bai3zang1giao5,pai21laŋ13ŋiau21,莆田庆元宵的一种文娱活动。棕轿是用竹子或木头制成的，轿顶饰棕片，象征神轿，由两个人用杠子前后抬着，按照锣鼓的节奏围绕火堆跳舞，或跳过火堆，同时摇摆、翻转棕轿。,,,,hinghwa-RAG词典
275,拜一,bai4ik6,pai42iʔ1,星期一。星期二到星期六的说法以此类推。,,,,hinghwa-RAG词典
276,拜几,bai4gui3,pai55kui453,星期几。,,,,hinghwa-RAG词典
277,拜佛,bai4hok7,pai55ɔʔ4,拜菩萨：烧香～。,,,,hinghwa-RAG词典
278,拜拜,bai4bai4,pai55pai42,祭拜。,,,,hinghwa-RAG词典
279,八八方,bak6bak6häng1,pap1paʔ4hɒŋ533,一种规格条石，横截面为边长8寸的正方形。,,,,hinghwa-RAG词典
280,八仙子弟,bak6seng1zi3de5,pat4ɬɛŋ55tso13le21,莆仙戏八种戏剧角色，即生、旦、净、末、外、老、贴、丑。,,,,hinghwa-RAG词典
281,八仙床,bak6seng1cung2,pat4lɛn21nuŋ13,八仙桌。,,,,hinghwa-RAG词典
282,八仙桌,bak6seng1do5,pat4ɬen13no21,方桌。,,,,hinghwa-RAG词典
283,八乐,bak6gak7,pak4kaʔ4,本地演奏音乐。由十几岁的男童或女童组成，称“男八乐”或“女八乐”，人数5至9人不等。也有中老年的八乐队。其中掌鼓板1人，掌大小锣和大小钹各1人，他们兼合唱。除了打击乐器外，另配有八人组成的管弦乐器伴奏队，故称“八乐”。所用伴奏乐器是横笛2把，尺胡2把，四胡、贡胡、三弦、八角琴各1把。”。八乐吹拉弹唱，但以演唱为主，其特点就是锣鼓点渗透到唱腔中。有打击乐，有器乐，又有声乐，既可行奏，也可坐奏，乐声悠,,,,hinghwa-RAG词典
284,八蜡爷,bak6lak7ia2,pat1la42ia13,蜘蛛。,,,,hinghwa-RAG词典
285,北斗戏,bak6diao3hi4,pa11liau11i42,是莆仙地区提线木偶戏的传统剧目，演的是南斗北斗星君和临水夫人陈靖姑降魔伏妖，扫除种种邪煞以保护宋朝太子长大成人，继承帝位的故事。过去演木偶戏，都是谢神酬愿时演唱的。如孩子们生病，为父母的就求神下愿，在孩子病愈后，演唱“北斗戏”，这种北斗戏，一是在孩子弥月、四个月、周岁或病人病愈后演唱，一是在结婚前一天演唱。,,,,hinghwa-RAG词典
286,北向,bak6hiao4,pak4hiau42,北边。,,,也叫【北向爿】。,hinghwa-RAG词典
287,北向爿,bak6hiao4be2,paʔ1hiau42me13,,,,同【北向】。,hinghwa-RAG词典
288,北军,bak6gong1,pak4kɔŋ533,1916----1918年南北方军队混战，人们称北洋军阀的部队为北军：侬生合～一样（指男子个子高大）。,,,,hinghwa-RAG词典
289,北洋,bak6iao2,paʔ4iau13,木兰陂以东木兰溪以北的平原。,,,,hinghwa-RAG词典
290,白粉,bak6hong3,pak1hɔŋ453,粉笔。,,,,hinghwa-RAG词典
291,幅,bak6,paʔ1,量词。用于布匹。,,,,hinghwa-RAG词典
292,腹肚,bak6dou3,pat4tɔu453,肚子。△～通东海（喻饭量大）。,,,,hinghwa-RAG词典
293,腹肚皮,bak6dou3puai2,pat1lɔu13phuai13,肚皮。,,,,hinghwa-RAG词典
294,腹肚里,bak6dou3li3,pat1tɔu13li453,心里：我伓知伊～甚生算（什么想）。,,,,hinghwa-RAG词典
295,腹肚胀,bak6dou3diao4,pat4tɔu453tuŋ42,腹胀。,,,,hinghwa-RAG词典
296,腹肚痛,bak6dou3tia4,pat4tɔu453thia42,肚子疼。,,,,hinghwa-RAG词典
297,腹脐,bak6zai3,pat4tsai13,肚脐。,,,,hinghwa-RAG词典
298,目连娘妳,bäk7leng2niao2ne3,pɛt1lɛn21niau13le453,比喻拼命劳作、操劳的女人。,,,,hinghwa-RAG词典
299,墨膏,bak6go1,pak1ko533,浓墨汁。,,,,hinghwa-RAG词典
300,覕,bak7,paʔ4,躲避；躲藏：～底落无看见（躲在哪里看不到）,,,,hinghwa-RAG词典
301,覕找,bak7cuai4,pat4tshuai42,捉迷藏。,,,,hinghwa-RAG词典
302,覕涂,bak7tou2,pat1thɔu13,喻隐藏。,,,,hinghwa-RAG词典
303,墨线,bak7süä4,pat4ɬyɒ42,木工在木料上用墨斗线弹出的直线。,,,,hinghwa-RAG词典
304,帮贴,bang1tiak6,pan13thiaʔ1,补助：加厄工资留～伙食。,,,,hinghwa-RAG词典
305,帮脚帮手,bang1kä1bang1ciu3,paŋ21khɒ21pan13tshiu453,帮忙：叫几个侬～。,,,,hinghwa-RAG词典
306,帮厨,bang1cü2,pan21tshy13,厨师的助手，负责分各道菜肴。,,,,hinghwa-RAG词典
307,梆鼓咚,bang1gou3dvng1,paŋ11ŋɔu13tɒŋ533,莆仙民间音乐。也称俚歌、乞食歌。流行于莆田、仙游二县，以及惠安、福清、永春等邻县的兴化方言区。本来是民间卖唱艺人作为谋生的说唱形式。早期演唱者以盲艺人为主。用莆田方言演唱，以渔鼓和简板为主要伴奏乐器。在开唱前往往有一段技巧性很强的击鼓演奏，演唱结束时亦有一段收场鼓点。鼓点有四种敲击法而发出不同的音响。艺人在演唱中，以一个基本唱调，随着唱词的音韵、声调、语气、情感的变化与转换，可以唱出多种不同的曲调,,,,hinghwa-RAG词典
308,房砖,bang2zuai1,pan13nuai533,房间内铺地的六角形薄片砖。△行三间～（喻见识短）。,,,,hinghwa-RAG词典
309,板条,bang3diao2,ban13niau13,长条状的木板。,,,,hinghwa-RAG词典
310,板油,bang3iu2,paŋ13ŋiu13,猪腹部的油。,,,,hinghwa-RAG词典
311,板架,bang3gä4,paŋ21ŋɒ42,旧式木床铺内侧平放的固定木板，用于放东西。,,,,hinghwa-RAG词典
312,板架顶,bang3gä4deng3,paŋ21ŋɒ55lɛŋ453,搁在旧式木床铺后壁防护围板上部的横支架，用于放东西。,,,,hinghwa-RAG词典
313,板架箧,bang3gä4ke5,paŋ21ŋɒ42khe21,旧式眠床板架橱下部的小抽屉。,,,,hinghwa-RAG词典
314,板架橱,bang3gä4diu2,paŋ21ŋɒ42liu13,床背阁。放在旧式木床铺板架上的组合橱。,,,参看【板架】见上方。,hinghwa-RAG词典
315,板堵,bang3dou3,pan21nɔu453,木板的隔墙。,,,,hinghwa-RAG词典
316,板锄,bang3tü2,pan13ny13,一种锄头，刀身比普通锄头狭长，适合于刨山地。,,,,hinghwa-RAG词典
317,板障,bang3ziao4,pan21niau42,阻挠，从中作梗：伊旧年评先进，乞侬～无落尾。,,,,hinghwa-RAG词典
318,放工,bang4gang1,paŋ55ŋaŋ533,特地抽出时间：我今旦～合汝齐去看。,,,,hinghwa-RAG词典
319,放水灯,bang4zui3deng1,pan21nui13lɛŋ533,旧时在中元节时，将许多灯笼放入水中随水流去祭孤魂。,,,,hinghwa-RAG词典
320,放石炮,bang4siao2pao4,paŋ55ɬiau55phau42,采石场放炮炸石头。,,,,hinghwa-RAG词典
321,放四门铳,bang4si4muai2cëng5,pan55ɬi55muai42lœŋ21,大事；隆重。,,,,hinghwa-RAG词典
322,放头放担,bang4tao2bang4dä1,pan21nau13pan55nɒ42,完全放开。,,,,hinghwa-RAG词典
323,放囝,bang4güä3,paŋ55ŋyɒ453,鱼虾等产卵：春天鱼卜～咯。,,,,hinghwa-RAG词典
324,放汤,bang4tung1,pan55thuŋ533,,,,同【放嫽】义③见下方。,hinghwa-RAG词典
325,放纸钱,bang4tung1,bang4züä3zing2pan55nyɒ13liŋ1,3莆仙丧葬习俗，由执事一人担一挑银箔纸锭，或用篮装后由长子或长孙提着，出殡时在灵柩前随行随洒。,,,,hinghwa-RAG词典
326,放软携手,bang4nuai3he2ciu3,paŋ42nuai13e21liu453,放手不管。,,,,hinghwa-RAG词典
327,放帖,bang4te5,pan42the21,办喜事时分送给亲戚朋友的请帖。,,,,hinghwa-RAG词典
328,放定,bang4dia5,pan42tia21,莆仙婚俗，定亲。,,,,hinghwa-RAG词典
329,放空,bang4kang1,paŋ55khaŋ533,空着：有内容厄填，无厄～许（有内容的就填，没有的就空着）,,,,hinghwa-RAG词典
330,放炮,bang4pao4,pam55mau42,放鞭炮。,,,,hinghwa-RAG词典
331,放昼,bang4dao4,pan55nau42,中午放学。,,,,hinghwa-RAG词典
332,放档,bang4däng1,pan55tɒŋ533,惊蛰前后，用竹筒放水捕鱼的方法。,,,,hinghwa-RAG词典
333,放凊屁,bang4cing4pui4,pan55tshim55phui42,说鬼话。,,,,hinghwa-RAG词典
334,放铳,bang4cëng5,pan42tshœŋ21,开枪。,,,,hinghwa-RAG词典
335,放脚放手,bang4kä1bang4ciu3,paŋ21ŋɒ21pam55tshiu453,放手（干）。,,,,hinghwa-RAG词典
336,放裤窗,bang4kou4tëng1,paŋ55khɔu55lœŋ533,在裤裆上开口，做成幼儿穿的裤子。,,,,hinghwa-RAG词典
337,放暝,bang4ma2,pam42ma13,下午放学。,,,,hinghwa-RAG词典
338,放嫽,bang4liao4,pan21niau42,捉弄；取笑：我蜀句话讲错，乞伊～。②玩弄：～水,,,,hinghwa-RAG词典
339,放嫽汤,bang4niao4tung1,pan21niau55thuŋ533,,,,同【放嫽】。,hinghwa-RAG词典
340,办牵,bang5keng1,paŋ21khɛŋ533,处理：事体～了未（事情办好了没有）。,,,,hinghwa-RAG词典
341,办食,bang5sia7,pan21niaʔ4,供应伙食：者个鞋厂有～。,,,,hinghwa-RAG词典
342,办盘,bang5bua2,pam21pua13,嫁出的女儿为娘家喜庆备办的礼盘。,,,,hinghwa-RAG词典
343,办骚事,bang5sao1so5,pan55ɬau13lo21,捣乱；搞恶作剧：无央侬做事体，尽行～（没有办人做事情，专门捣乱）。,,,,hinghwa-RAG词典
344,扁食,bang5sik7,pan21ɬiʔ4,馄饨。,,,,hinghwa-RAG词典
345,包包,bao1bao1,pau55pau533,包儿；手提包。,,,,hinghwa-RAG词典
346,包砖,bao1zuai1,pau21luai533,用砖头从下往上砌，将房子外墙包起来，以抵御暴风雨。,,,,hinghwa-RAG词典
347,包菜腌,bao1cai4iang1,pau21lai55iaŋ533,盐腌包菜。,,,,hinghwa-RAG词典
348,包菜糜,bao1cai4ma2,pau21lai42ma13,包菜、猪肉等加入大米中煮成的饭。,,,,hinghwa-RAG词典
349,包袱伞,bao1häk7sua3,pau21ɒ21ɬua453,出门所带的常用品。△和尚～（揶揄某人出门时带很多不必要的东西）。,,,,hinghwa-RAG词典
350,貌相,bao5süäng4,pau55ɬyɒŋ42,相貌。一般指男子，特指好看英俊的相貌：～好,,,,hinghwa-RAG词典
351,玻璃钮,bä1li2diu3,pɒ21li21tiu453,用玻璃做的钮扣。,,,,hinghwa-RAG词典
352,扒马,bä2ma3,pam55ma453,扒手。,,,,hinghwa-RAG词典
353,扒饴,bä2ki2,pɒ21khi13,勤俭做家。,,,,hinghwa-RAG词典
354,扒胎,bä2tai1,pɒ21thai533,,,,同【拍胎】在第145页。,hinghwa-RAG词典
355,扒鼎,bä2dia3,pɒ21lia453,扒去锅身上的烟灰。△～十八手（喻看似简单的工作，也不简单）。,,,,hinghwa-RAG词典
356,爬天梯,bä2ting1tui1,pɒ21thin13thui533,做难度非常大甚至办不来的事情：汝叫我去～。,,,,hinghwa-RAG词典
357,麻疯出面,bä2häng1cok6ming4,pɒ21aŋ55tshɔp4miŋ42,喻隐藏的东西已经暴露了。,,,,hinghwa-RAG词典
358,马耳,bä3hi2,pɒ13hi21,莆田特色小吃。面粉经发酵后，加白糖、芝麻，油炸而成。外形像马的耳朵。,,,,hinghwa-RAG词典
359,马蛋,bä3në5,pɒ13nø21,莆仙特色食品。糯米浆滤水后，拌白糖揉制成皮，包甜豆沙馅，沾上白芝麻，油炸而成的球状（直径约④厘米）食品。,,,,hinghwa-RAG词典
360,马跳日,bä3tiao4zik7,pɒ453thiau55tsiʔ4,象棋下法之一。马的跳步是成日字格。,,,,hinghwa-RAG词典
361,马蹄酥,bä3de2sou1,pɒ13te21ɬɔu533,一种面粉油炸食品。,,,,hinghwa-RAG词典
362,把,bä3,pɒ453,量词。用于成捆成束的：两～白菜,,,,hinghwa-RAG词典
363,码面,bä3ming4,pɒ13miŋ43,房屋前面大门两边的墙。,,,,hinghwa-RAG词典
364,码面窗,bä3ming4tëng1,pɒ21min55nœŋ533,房屋大门两旁厢房前的窗户。,,,,hinghwa-RAG词典
365,保险,bä3hiang3,pɒ21hiaŋ453,关机。,,,,hinghwa-RAG词典
366,报孽命,bä4giak7mia5,pɒ21kɛp4mia21,辛苦劳碌的命。,,,,hinghwa-RAG词典
367,木兰陂,bäk7lang2bi1,pɒʔ21lam13mi533,莆田宋代水利工程。木兰陂位于莆田市区西南5公里的木兰山下的陂头村，木兰溪与兴化湾海潮汇流处。始建于北宋治平元年(1064)，元丰六年(1083)建成，灌溉南洋平原。元皇庆年间(1312～1313)，总管张仲仪、郭尕儿在木兰陂北端建“万金陡门”(即今进水闸)，分水进入北洋，开挖沟渠与延寿溪下游汇合，开发北洋灌区。木兰陂是我国现有最完整的古代大型水利建设设施，全国五大古陂之一，至今仍保存完整并发挥其水,,,,hinghwa-RAG词典
368,木兰溪,bäk7lang2ke1,pɒʔ21laŋ11ŋe533,溪流。发源于德化县戴云山脉余支的笔架山，自西北向东横贯莆田市中、南部，至三江口注入兴化湾入台湾海峡。干流全长105公里，流域面积1732平方公里，为福建省八大河流之一，天然落差784米。流域内有著名的南北洋平原(兴化平原)和仙游东西乡平原，是莆田市内主要的人口聚居区。把兴化平原划为南北洋。流域内沿岸水利设施众多，为流域生产生产提供了充足的水源和电力支持。同时木兰溪及其支流、入海口湾是市内重要的水运,,,,hinghwa-RAG词典
369,木□,bäk7läng,pɒ21lɒŋ13,一种水稻脱粒农具。用于在水田中打稻，木制，圆筒状。,,,,hinghwa-RAG词典
370,木爿,bäk7be2,pɒʔ1pe13,汉字偏旁，木字旁“朩”。,,,,hinghwa-RAG词典
371,木虱,bäk7sek6,pat4ɬɛʔ1,臭虫。△有钱有侬别，无钱臭～（金钱万能）。,,,,hinghwa-RAG词典
372,博庄,bäk7sek6,bäk7zung1,pɒttsɒŋ533赌博。,,,,hinghwa-RAG词典
373,缚,bäk7,pɒʔ4,绑；系：用索将伊～柱珠厄（用绳子将他绑在柱子上）,,,,hinghwa-RAG词典
374,缚空肚,bäk7kang1dou3,pɒk1khan13tɔu453,空无一文。,,,,hinghwa-RAG词典
375,磅,bäng5,pɒŋ21,磅秤。,,,,hinghwa-RAG词典
376,磅锤,bäng5tui2,pɒn21thui13,磅秤的秤砣。,,,,hinghwa-RAG词典
377,□紧,be2ging3,pe21iŋ453,不要紧。“（勿会）要紧”的合音。,,,,hinghwa-RAG词典
378,反身覆,be2sing1pak6,pe21lim42phaʔ1,趴着。,,,,hinghwa-RAG词典
379,爿,be2,pe13,量词。边；瓣：分两～行,,,,hinghwa-RAG词典
380,簰篙,be2go1,pe21ko533,刺水使竹筏前进的竹杆。,,,,hinghwa-RAG词典
381,片,be3,pe453,量词。用于脸腮或屁股：两～嘴（卑页）。,,,,hinghwa-RAG词典
382,反,be3,pe453,翻：被曝蜀歇囝着～过再曝（被子晒一会儿就要翻过去再晒。）,,,,hinghwa-RAG词典
383,反身覆,be3sing1pak6,pe21lim42phaʔ1,趴着：～睏。,,,,hinghwa-RAG词典
384,反肚,be3dou3,pe21lɔu453,（鱼）腹部朝天。,,,,hinghwa-RAG词典
385,反辗转,be3ling3duai3,pe21in55nuai453,整个儿翻过来，转过来：者张被～曝曝蜀下,,,,hinghwa-RAG词典
386,买猫换魈,be3mä2üä5niao1,pe13mɒ13yɒ55niau533,白忙碌。,,,,hinghwa-RAG词典
387,（勿会）,be5,pe21,不会：会食～做（会吃饭不会干活）,,,,hinghwa-RAG词典
388,（勿会）…（勿会）…,be5,pe21pe21,嵌用动词，表示这也不会，那也不会：～嫖～赌,,,,hinghwa-RAG词典
389,（勿会）生勿会死,be5sa1be5si3,pe21ɬa55pe21ɬi453,求生不得，求死不得。②受不了：我那讲伊两句，伊即～。,,,,hinghwa-RAG词典
390,（勿会）死厄,be5si3ek6,pe21ɬi13ɛ453,死不瞑目；不甘心：一架脚车敲无坏伊那～。,,,,hinghwa-RAG词典
391,（勿会）许勿会者,be5hü3be5zi3,pe21hy453pe21tsi453,什么都不会：伊～，食了搭聊。,,,,hinghwa-RAG词典
392,（勿会）苦,be5kou3,pe21khɔu453,巴不得：～得伊厄紧行（巴不得他马上走）。,,,,hinghwa-RAG词典
393,（勿会）使厄,be5sai3,pe21lai453,不行；不能：～，安生（这样子）做是会得罪侬厄,,,,hinghwa-RAG词典
394,（勿会）赴,be5hu4,pe55hu42,来不及：现时去～。,,,,hinghwa-RAG词典
395,（勿会）晓,be5hiao3,pe21iau453,不会：食偌大个复～煮食,,,,hinghwa-RAG词典
396,（勿会）得入,be5dek6dik7,pe21lɛt4tiʔ4,进不去：大门关许，～。,,,,hinghwa-RAG词典
397,（勿会）得带,be5dek6dua4,pe21lɛt4tua42,受不了：无事体做在厝里～,,,,hinghwa-RAG词典
398,（勿会）得着,be5dek6diao2,pɛ21let4tiau13,够不着；够不上：羽毛球乞挂树顶，用箠篙去撂～。,,,,hinghwa-RAG词典
399,（勿会）摸（勿会）磕,be5mou1be5kak7,pe21mɔu55pe21khaʔ4,碰不得。,,,,hinghwa-RAG词典
400,八,be5,pe21,副词，曾经：我～看见这种蝴蝶,,,,hinghwa-RAG词典
401,八十零零,be5se2leng2leng2,pɛt4lɛʔ4lɛŋ21lɛŋ13,八十多一点。类似的可以说三十零零、五十零零等。,,,,hinghwa-RAG词典
402,八角琴,be5gak6ging2,pe21kaʔ4kiŋ13,莆仙戏及十音演奏乐器之一，琴筒呈八角形。,,,,hinghwa-RAG词典
403,勿会记,be5gi4,pœk4ki42,忘记：汝有讲，我乞～落尾（你有说，我忘记了）。,,,,hinghwa-RAG词典
404,卖车丸阿,be5cia1uai2a1,pe42tshia21uai13ɛʔ4,卖汤圆的人。,,,,hinghwa-RAG词典
405,卖仙冻阿,be5seng1dang4a1,pe42ɬen21naŋ42ŋɛʔ1,卖凉粉的人。,,,,hinghwa-RAG词典
406,卖老鼠药阿,be5lou2cü3iao2a1,pe43lɔu21ly13iau13ɛʔ4,卖各种毒杀害虫的毒药的小货郎。,,,,hinghwa-RAG词典
407,卖菜种阿,be5cai4zäng3a1,pe55tshai55lœŋ13ŋɛʔ4,卖蔬菜种子的。,,,,hinghwa-RAG词典
408,卖葱饼阿,be5cang1bia3a1,pe42tsham21mia13ɛ453,在路旁出售炸油饼、油条等的人。,,,,hinghwa-RAG词典
409,瘪,be5,pe21,扁状：嘴～～,,,,hinghwa-RAG词典
410,瘪嘴,be5cui4,pe55lui42,嘴部扁扁的。,,,,hinghwa-RAG词典
411,勿会,bei5,pe21,副词，不会：～使厄（使不得）,,,,hinghwa-RAG词典
412,百灵,bek6leng2,pɛt4leŋ13,闲扯。,,,,hinghwa-RAG词典
413,百般江湖,bek6bang1gang1hou2,pɛp4paŋ55kaŋ21ŋɔu13,指各行各业。,,,,hinghwa-RAG词典
414,别,bek6,pɛʔ1,认识：我伓～者个侬（我不认得这个人）,,,,hinghwa-RAG词典
415,别日,bek6dik7,pɛt1tiʔ4,改天。,,,,hinghwa-RAG词典
416,别古,bek6gou3,pɛk4kɔu453,知道别人所不知道的事物，特别是古代的事情。,,,,hinghwa-RAG词典
417,别向,bek6hiao4,pɛk4hiau42,别的方向，其它方向。也称别置：车开～去。,,,,hinghwa-RAG词典
